City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Byron Bay,AU,77.7,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
7,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
14,Atuona,PF,77.29,light rain,-9.8,-139.0333,Villa Enata
23,El Pinon,CO,80.74,overcast clouds,10.4028,-74.8242,Hotel Sol
41,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Itarema,BR,80.33,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
51,Sumbe,AO,76.42,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
70,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
80,Hithadhoo,MV,81.41,moderate rain,-0.6,73.0833,Scoop Guest House
84,Santa Marta,CO,79.16,overcast clouds,11.2408,-74.199,Casa de Isabella
88,Savelugu,GH,79.41,clear sky,9.6244,-0.8253,Yoo Naa's Palace
94,Veraval,IN,78.94,overcast clouds,20.9,70.3667,Lords Inn Somnath
99,Acapulco,MX,78.98,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,Neiafu,TO,80.53,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
109,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
112,Chai Badan,TH,80.89,overcast clouds,15.2,101.1333,Narai Grand Hotel
115,Saint-Georges,GD,78.96,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
129,Hobyo,SO,78.57,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
132,Port Blair,IN,82.94,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
138,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
149,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
154,Sinnamary,GF,78.13,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
163,Garoua,CM,76.32,clear sky,9.3,13.4,Dreamland Hotel Annexe Bockle
172,Tabou,CI,78.42,clear sky,4.423,-7.3528,hotêl doufoulougou
175,Cockburn Town,TC,81.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
