City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,64.74,74,100,12.19,moderate rain
1,Zlobin,HR,45.2924,14.6541,42.1,67,20,20.71,few clouds
2,Tura,IN,25.5198,90.2201,67.5,66,0,1.83,clear sky
3,Byron Bay,AU,-28.65,153.6167,77.7,75,33,9.35,scattered clouds
4,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,4.61,broken clouds
5,Ushuaia,AR,-54.8,-68.3,38.86,70,75,18.41,broken clouds
6,East London,ZA,-33.0153,27.9116,66.18,86,100,19.33,light rain
7,Georgetown,MY,5.4112,100.3354,82.33,90,20,1.01,few clouds
8,Elko,US,41.0002,-115.5012,36.64,46,0,7.0,clear sky
9,Saldanha,ZA,-33.0117,17.9442,60.84,83,0,13.47,clear sky
10,Srednekolymsk,RU,67.45,153.6833,-29.11,99,81,5.01,broken clouds
11,Mataura,NZ,-46.1927,168.8643,63.0,45,83,5.39,broken clouds
12,Igarka,RU,67.4667,86.5833,9.7,92,100,23.53,light snow
13,Bismil,TR,37.8486,40.6658,40.73,70,0,1.34,clear sky
14,Atuona,PF,-9.8,-139.0333,77.29,77,100,8.66,light rain
15,Lagoa,PT,39.05,-27.9833,64.94,85,62,21.05,broken clouds
16,Jamestown,US,42.097,-79.2353,31.71,68,97,5.01,overcast clouds
17,Coihaique,CL,-45.5752,-72.0662,45.45,85,96,5.59,overcast clouds
18,Villanueva,HN,15.3167,-88.0,74.39,83,20,3.44,few clouds
19,Yellowknife,CA,62.456,-114.3525,-4.45,75,40,4.0,scattered clouds
20,Dali,CN,25.7,100.1833,52.74,80,35,1.48,scattered clouds
21,Saskylakh,RU,71.9167,114.0833,-25.06,98,13,8.39,few clouds
22,Hermanus,ZA,-34.4187,19.2345,53.8,78,19,9.93,few clouds
23,El Pinon,CO,10.4028,-74.8242,80.74,91,100,5.12,overcast clouds
24,Bethel,US,41.3712,-73.414,39.04,60,73,1.01,broken clouds
25,Makinsk,KZ,52.6292,70.4169,23.79,90,95,17.81,overcast clouds
26,Faanui,PF,-16.4833,-151.75,81.28,73,100,7.18,light rain
27,Busselton,AU,-33.65,115.3333,68.13,43,0,0.22,clear sky
28,Thompson,CA,55.7435,-97.8558,-3.84,77,75,3.44,broken clouds
29,Dalvik,IS,65.9702,-18.5286,42.73,79,58,16.35,broken clouds
30,Noumea,NC,-22.2763,166.4572,89.58,78,100,11.1,light rain
31,San Patricio,US,28.017,-97.5169,67.84,48,100,7.83,overcast clouds
32,San Rafael,AR,-34.6177,-68.3301,72.91,26,0,7.61,clear sky
