City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Quelimane,MZ,2021-11-22 00:42:05,-17.8786,36.8883,78.75,89,40,2.3
1,Fort Nelson,CA,2021-11-22 00:43:04,58.8053,-122.7002,0.99,85,90,0.0
2,Itaberaba,BR,2021-11-22 00:39:54,-12.5275,-40.3069,75.22,66,63,3.04
3,Hobart,AU,2021-11-22 00:43:05,-42.8794,147.3294,67.05,61,40,1.01
4,Portree,GB,2021-11-22 00:43:06,57.4129,-6.1942,41.86,89,71,2.75
5,Wynyard,AU,2021-11-22 00:43:06,-41.0,145.7167,64.98,51,13,7.56
6,Ocos,GT,2021-11-22 00:43:07,14.5094,-92.1933,84.7,77,15,4.81
7,Upernavik,GL,2021-11-22 00:43:07,72.7868,-56.1549,3.99,88,39,7.49
8,Emilio Carranza,MX,2021-11-22 00:43:08,19.9711,-96.6114,74.19,86,5,0.38
9,Khanpur,PK,2021-11-22 00:43:09,28.6453,70.6567,61.88,20,0,2.95
10,Portland,US,2021-11-22 00:43:09,45.5234,-122.6762,47.73,85,75,1.01
11,Mount Gambier,AU,2021-11-22 00:42:47,-37.8333,140.7667,60.71,63,90,10.36
12,Saskylakh,RU,2021-11-22 00:43:10,71.9167,114.0833,-25.55,97,37,7.94
13,Cape Town,ZA,2021-11-22 00:42:03,-33.9258,18.4232,67.26,78,0,25.32
14,Srednekolymsk,RU,2021-11-22 00:43:12,67.45,153.6833,-23.85,100,100,0.18
15,Hasaki,JP,2021-11-22 00:39:13,35.7333,140.8333,61.09,83,100,29.91
16,Haines Junction,CA,2021-11-22 00:43:13,60.7522,-137.5108,-0.45,71,100,4.61
17,Narsaq,GL,2021-11-22 00:43:14,60.9167,-46.05,34.02,98,97,3.56
18,Bambous Virieux,MU,2021-11-22 00:43:15,-20.3428,57.7575,73.65,88,75,3.44
19,Hermanus,ZA,2021-11-22 00:43:15,-34.4187,19.2345,66.9,88,100,17.29
20,Albany,US,2021-11-22 00:42:00,42.6001,-73.9662,48.47,64,100,6.31
21,Parit Buntar,MY,2021-11-22 00:43:16,5.1267,100.4932,79.95,82,57,3.4
22,Choma,ZM,2021-11-22 00:43:17,-16.8065,26.9531,65.35,81,100,3.85
23,Jamestown,US,2021-11-22 00:39:36,42.097,-79.2353,42.12,95,90,10.0
24,Kapaa,US,2021-11-22 00:43:18,22.0752,-159.319,82.72,68,20,1.01
25,Antalaha,MG,2021-11-22 00:43:19,-14.9003,50.2788,71.58,84,0,4.5
26,Mataura,NZ,2021-11-22 00:43:19,-46.1927,168.8643,54.32,80,100,1.79
27,Butaritari,KI,2021-11-22 00:43:20,3.0707,172.7902,81.19,78,21,8.32
28,Zhezkazgan,KZ,2021-11-22 00:43:21,47.8043,67.7144,32.18,81,99,26.51
29,Vaini,TO,2021-11-22 00:43:21,-21.2,-175.2,82.56,94,40,6.91
30,Ribeira Grande,PT,2021-11-22 00:43:22,38.5167,-28.7,64.85,84,99,28.41
31,Daru,PG,2021-11-22 00:43:23,-9.0763,143.2092,86.43,68,47,7.38
32,Punta Arenas,CL,2021-11-22 00:42:14,-53.15,-70.9167,41.11,70,75,18.41
33,Torrington,US,2021-11-22 00:43:24,41.8007,-73.1212,50.5,78,100,1.01
34,Tura,IN,2021-11-22 00:43:25,25.5198,90.2201,62.15,79,6,2.57
35,Bluff,NZ,2021-11-22 00:43:25,-46.6,168.3333,51.94,74,100,9.82
36,Plettenberg Bay,ZA,2021-11-22 00:43:26,-34.0527,23.3716,65.17,95,72,4.12
37,Mar Del Plata,AR,2021-11-22 00:39:12,-38.0023,-57.5575,62.87,81,0,4.61
38,Ushuaia,AR,2021-11-22 00:39:46,-54.8,-68.3,37.06,75,75,17.27
39,Noumea,NC,2021-11-22 00:43:27,-22.2763,166.4572,85.98,99,30,9.1
40,Flinders,AU,2021-11-22 00:43:28,-34.5833,150.8552,71.19,55,95,7.0
41,Pevek,RU,2021-11-22 00:43:28,69.7008,170.3133,-19.5,98,23,4.38
42,Teahupoo,PF,2021-11-22 00:43:29,-17.8333,-149.2667,80.56,71,0,5.53
43,Cajazeiras,BR,2021-11-22 00:43:30,-6.8903,-38.5553,82.09,32,95,2.53
44,New Norfolk,AU,2021-11-22 00:43:30,-42.7826,147.0587,66.7,43,40,3.0
45,Busselton,AU,2021-11-22 00:43:31,-33.65,115.3333,62.04,56,30,14.58
46,Bredasdorp,ZA,2021-11-22 00:43:32,-34.5322,20.0403,62.28,90,100,15.37
47,Barrow,US,2021-11-22 00:44:32,71.2906,-156.7887,-5.78,77,20,9.22
48,Kenai,US,2021-11-22 00:44:33,60.5544,-151.2583,13.14,79,20,5.75
49,La Ronge,CA,2021-11-22 00:44:34,55.1001,-105.2842,10.65,85,90,9.22
50,Rikitea,PF,2021-11-22 00:44:34,-23.1203,-134.9692,74.28,61,0,3.44
51,Olafsvik,IS,2021-11-22 00:44:35,64.8945,-23.7142,42.76,80,100,20.42
52,Ambanja,MG,2021-11-22 00:44:35,-13.6833,48.45,73.63,90,7,2.66
53,Vilhena,BR,2021-11-22 00:44:36,-12.7406,-60.1458,70.72,95,100,1.79
54,Katsuura,JP,2021-11-22 00:44:37,35.1333,140.3,62.62,85,100,25.19
55,Port Macquarie,AU,2021-11-22 00:43:36,-31.4333,152.9167,66.88,94,90,13.8
56,Swidwin,PL,2021-11-22 00:44:38,53.7746,15.7767,42.96,73,100,6.78
57,Norman Wells,CA,2021-11-22 00:44:39,65.282,-126.8329,-20.16,76,75,4.61
58,Alofi,NU,2021-11-22 00:44:40,-19.0595,-169.9187,85.89,58,15,10.36
59,Lata,PT,2021-11-22 00:44:40,40.1629,-8.3327,52.81,94,0,1.1
60,Solnechnyy,RU,2021-11-22 00:44:42,50.7214,136.6319,10.29,83,100,8.28
61,Nanortalik,GL,2021-11-22 00:44:42,60.1432,-45.2371,31.64,95,98,10.45
62,Touros,BR,2021-11-22 00:44:43,-5.1989,-35.4608,81.5,75,10,12.84
63,Te Anau,NZ,2021-11-22 00:44:43,-45.4167,167.7167,53.55,89,97,2.28
64,Moville,US,2021-11-22 00:44:44,42.4889,-96.0725,31.69,32,100,10.09
65,Georgetown,MY,2021-11-22 00:39:46,5.4112,100.3354,79.9,93,20,0.0
66,Tuktoyaktuk,CA,2021-11-22 00:44:45,69.4541,-133.0374,-13.0,77,20,3.44
67,Atuona,PF,2021-11-22 00:44:46,-9.8,-139.0333,78.39,72,99,11.03
68,Caravelas,BR,2021-11-22 00:39:57,-17.7125,-39.2481,71.64,88,100,10.89
69,Ilulissat,GL,2021-11-22 00:44:47,69.2167,-51.1,24.82,74,75,12.66
70,Roald,NO,2021-11-22 00:44:47,62.5833,6.1333,40.08,81,90,10.36
71,Carnarvon,AU,2021-11-22 00:44:48,-24.8667,113.6333,71.67,53,90,17.27
72,Albury,AU,2021-11-22 00:44:49,-36.0833,146.9167,78.15,67,2,6.91
73,Severo-Kurilsk,RU,2021-11-22 00:44:49,50.6789,156.125,38.48,88,34,12.17
74,Angoche,MZ,2021-11-22 00:44:50,-16.2325,39.9086,77.49,84,93,4.34
75,Lebu,CL,2021-11-22 00:44:51,-37.6167,-73.65,54.59,94,61,17.94
76,Avarua,CK,2021-11-22 00:44:51,-21.2078,-159.775,80.65,78,75,4.61
77,Puerto Ayora,EC,2021-11-22 00:44:52,-0.7393,-90.3518,69.55,81,60,7.0
78,Charters Towers,AU,2021-11-22 00:44:52,-20.1,146.2667,87.66,35,0,6.93
79,Kashi,CN,2021-11-22 00:44:53,39.4547,75.9797,27.61,59,40,6.71
80,Cabo San Lucas,MX,2021-11-22 00:44:00,22.8909,-109.9124,78.1,77,100,5.19
81,Qaanaaq,GL,2021-11-22 00:44:54,77.484,-69.3632,-9.33,73,22,5.79
82,East London,ZA,2021-11-22 00:42:50,-33.0153,27.9116,68.77,82,100,13.42
83,College,US,2021-11-22 00:44:55,64.8569,-147.8028,-12.42,71,40,0.0
84,Faya,SA,2021-11-22 00:44:56,18.3851,42.4509,54.12,53,10,0.81
85,Cidreira,BR,2021-11-22 00:44:56,-30.1811,-50.2056,68.86,76,0,14.38
86,Lompoc,US,2021-11-22 00:44:57,34.6391,-120.4579,75.34,37,1,8.05
87,Timbiqui,CO,2021-11-22 00:44:59,2.7717,-77.6654,74.59,93,98,3.49
88,Mwanza,TZ,2021-11-22 00:44:59,-2.5167,32.9,75.2,64,100,5.23
89,Rundu,NA,2021-11-22 00:45:00,-17.9333,19.7667,73.9,56,97,4.54
90,Tasiilaq,GL,2021-11-22 00:45:00,65.6145,-37.6368,32.16,98,100,10.67
91,Khatanga,RU,2021-11-22 00:45:01,71.9667,102.5,-34.46,98,6,3.65
92,Ahipara,NZ,2021-11-22 00:46:02,-35.1667,173.1667,67.77,83,100,2.8
93,Anloga,GH,2021-11-22 00:46:02,5.7947,0.8973,82.62,81,66,9.15
94,Hambantota,LK,2021-11-22 00:46:03,6.1241,81.1185,70.14,100,63,2.3
95,Kieta,PG,2021-11-22 00:46:04,-6.2167,155.6333,86.02,66,37,4.79
96,Senanga,ZM,2021-11-22 00:46:05,-16.1167,23.2667,68.72,82,100,7.2
97,Vila Velha,BR,2021-11-22 00:45:08,-20.3297,-40.2925,67.95,92,75,4.0
98,Ayan,RU,2021-11-22 00:46:06,56.45,138.1667,7.72,68,8,8.25
99,Kose,TR,2021-11-22 00:46:06,40.21,39.6511,25.36,80,0,2.71
100,Kavieng,PG,2021-11-22 00:46:07,-2.5744,150.7967,86.05,67,99,9.95
101,Taoudenni,ML,2021-11-22 00:46:08,22.6783,-3.9836,77.92,28,87,6.06
102,Fare,PF,2021-11-22 00:46:09,-16.7,-151.0167,79.83,67,0,5.82
103,Thompson,CA,2021-11-22 00:46:09,55.7435,-97.8558,1.56,71,1,8.05
104,Mackenzie,CA,2021-11-22 00:46:10,55.2999,-123.1698,34.02,93,90,12.66
105,Shahr-E Babak,IR,2021-11-22 00:46:11,30.1165,55.1186,50.9,58,10,2.89
106,Kutum,SD,2021-11-22 00:46:11,14.2,24.6667,59.86,33,23,6.08
107,Saint-Philippe,RE,2021-11-22 00:46:12,-21.3585,55.7679,72.99,69,3,1.05
108,Tocopilla,CL,2021-11-22 00:46:12,-22.092,-70.1979,65.84,68,84,3.96
109,Nyurba,RU,2021-11-22 00:46:13,63.2842,118.3319,-23.13,100,97,0.89
110,Naze,JP,2021-11-22 00:46:15,28.3667,129.4833,70.72,84,81,13.51
111,Hilo,US,2021-11-22 00:46:15,19.7297,-155.09,80.33,69,20,6.91
112,Samarai,PG,2021-11-22 00:46:16,-10.6167,150.6667,84.54,74,90,15.23
113,Nikolskoye,RU,2021-11-22 00:46:16,59.7035,30.7861,29.01,65,85,10.36
114,Asfi,MA,2021-11-22 00:46:17,32.2994,-9.2372,62.13,76,22,6.8
115,Tam Ky,VN,2021-11-22 00:46:18,15.5667,108.4833,75.18,84,89,4.05
116,Opoczno,PL,2021-11-22 00:46:19,51.3757,20.2783,45.81,90,99,4.72
117,Saint Anthony,US,2021-11-22 00:46:19,45.0205,-93.218,26.92,54,1,4.0
118,Rafraf,TN,2021-11-22 00:46:20,37.1904,10.1837,55.71,72,67,8.03
119,Zilupe,LV,2021-11-22 00:46:21,56.3862,28.1217,30.09,80,20,9.15
120,Bintulu,MY,2021-11-22 00:46:21,3.1667,113.0333,77.41,88,20,0.0
121,Lagoa,PT,2021-11-22 00:46:22,39.05,-27.9833,62.67,88,100,30.8
122,Custoias,PT,2021-11-22 00:46:23,41.1053,-7.321,44.35,85,4,1.99
123,Khudumelapye,BW,2021-11-22 00:46:23,-23.8833,24.75,64.74,82,67,10.51
124,Sitka,US,2021-11-22 00:46:24,57.0531,-135.33,42.69,87,90,10.36
125,Samsun,TR,2021-11-22 00:46:25,41.25,36.3333,52.0,59,0,5.75
126,Hargeysa,SO,2021-11-22 00:46:26,9.56,44.065,60.71,90,29,8.23
127,Salalah,OM,2021-11-22 00:46:26,17.0151,54.0924,73.49,56,0,4.61
128,Guerrero Negro,MX,2021-11-22 00:46:14,27.9769,-114.0611,66.25,71,100,9.37
129,Arraial Do Cabo,BR,2021-11-22 00:46:27,-22.9661,-42.0278,68.95,64,92,5.41
130,Qeshm,IR,2021-11-22 00:46:28,26.9581,56.2719,73.29,64,4,6.8
131,Dikson,RU,2021-11-22 00:46:29,73.5069,80.5464,-12.62,78,8,11.63
132,Rakiv Lis,UA,2021-11-22 00:46:29,51.6217,24.9243,42.01,90,67,6.24
133,Altay,CN,2021-11-22 00:46:30,47.8667,88.1167,17.8,51,82,7.94
134,Ostrovnoy,RU,2021-11-22 00:46:30,68.0531,39.5131,27.64,90,100,24.32
135,Krasnoselkup,RU,2021-11-22 00:46:31,65.7,82.4667,11.05,93,100,19.53
136,Urusha,RU,2021-11-22 00:47:32,54.05,122.9,8.26,71,100,3.2
137,Ponta Do Sol,PT,2021-11-22 00:47:32,32.6667,-17.1,69.01,85,20,3.09
138,Torbay,CA,2021-11-22 00:43:14,47.6666,-52.7314,30.76,80,20,3.44
139,Hithadhoo,MV,2021-11-22 00:47:33,-0.6,73.0833,80.58,80,71,11.86
140,Castro,BR,2021-11-22 00:47:34,-24.7911,-50.0119,57.34,73,12,5.79
141,Provideniya,RU,2021-11-22 00:47:35,64.3833,-173.3,6.91,61,0,2.24
142,Talaya,RU,2021-11-22 00:47:36,61.3833,152.75,-11.83,99,100,2.93
143,Tabas,IR,2021-11-22 00:47:37,33.5959,56.9244,55.31,33,11,1.59
144,Macon,US,2021-11-22 00:46:18,39.8667,-88.9668,49.75,53,2,19.98
145,Achutupo,PA,2021-11-22 00:47:39,9.2,-77.9833,78.22,87,100,4.97
146,Bandarbeyla,SO,2021-11-22 00:47:39,9.4942,50.8122,76.35,72,3,13.31
147,Yar-Sale,RU,2021-11-22 00:47:40,66.8333,70.8333,15.76,95,100,14.65
148,Poum,NC,2021-11-22 00:47:40,-20.2333,164.0167,78.12,69,0,5.48
149,Alyangula,AU,2021-11-22 00:47:41,-13.8483,136.4192,87.67,66,40,12.66
150,Yellowknife,CA,2021-11-22 00:44:03,62.456,-114.3525,5.41,89,90,11.5
151,Ushtobe,KZ,2021-11-22 00:47:43,45.2514,77.9838,32.09,53,100,5.48
152,Port Alfred,ZA,2021-11-22 00:47:43,-33.5906,26.891,69.6,81,100,15.57
153,Okhotsk,RU,2021-11-22 00:47:44,59.3833,143.3,5.14,88,91,15.12
154,Itarema,BR,2021-11-22 00:47:45,-2.9248,-39.9167,79.57,78,30,13.6
155,Shizunai,JP,2021-11-22 00:47:15,42.3339,142.3669,49.3,81,100,25.79
156,Sungaipenuh,ID,2021-11-22 00:47:46,-2.0833,101.3833,70.97,78,79,1.07
157,Vila Franca Do Campo,PT,2021-11-22 00:47:46,37.7167,-25.4333,63.19,86,98,11.99
158,Bethel,US,2021-11-22 00:47:47,41.3712,-73.414,52.16,80,90,1.01
159,Nouadhibou,MR,2021-11-22 00:47:48,20.931,-17.0347,71.58,73,0,8.05
160,Mtimbira,TZ,2021-11-22 00:47:48,-8.7833,36.35,72.18,70,92,3.8
161,Half Moon Bay,US,2021-11-22 00:46:35,37.4636,-122.4286,68.22,60,1,6.91
162,Nampula,MZ,2021-11-22 00:47:49,-15.1165,39.2666,73.35,83,0,3.44
163,Beringovskiy,RU,2021-11-22 00:47:50,63.05,179.3167,2.43,98,99,13.2
164,Kandrian,PG,2021-11-22 00:47:51,-6.2167,149.55,86.07,67,88,6.64
165,Young,UY,2021-11-22 00:47:51,-32.6833,-57.6333,74.41,31,0,5.75
166,Saint George,US,2021-11-22 00:46:36,37.1041,-113.5841,63.19,24,1,3.44
167,Acapulco,MX,2021-11-22 00:46:45,16.8634,-99.8901,82.22,78,40,3.44
168,Canutama,BR,2021-11-22 00:47:53,-6.5339,-64.3831,74.97,94,92,2.26
169,Constitucion,CL,2021-11-22 00:47:53,-35.3333,-72.4167,57.0,78,7,12.15
170,Moncagua,SV,2021-11-22 00:47:54,13.5333,-88.25,84.54,74,20,0.0
171,Shimoda,JP,2021-11-22 00:47:55,34.6667,138.95,61.16,81,94,11.65
172,Ayagoz,KZ,2021-11-22 00:47:55,47.9714,80.4392,8.96,83,100,3.56
173,Necochea,AR,2021-11-22 00:43:26,-38.5473,-58.7368,58.03,75,6,6.38
174,Pringsewu,ID,2021-11-22 00:47:57,-5.3582,104.9744,80.78,77,100,2.44
175,Kamina,CD,2021-11-22 00:47:57,-8.7386,24.9906,62.17,91,98,3.58
176,Suoyarvi,RU,2021-11-22 00:47:58,62.0833,32.35,22.96,77,38,12.46
177,Grindavik,IS,2021-11-22 00:47:59,63.8424,-22.4338,43.27,81,75,19.57
178,Ati,TD,2021-11-22 00:47:59,13.2154,18.3353,77.52,19,100,9.28
179,Ajdabiya,LY,2021-11-22 00:49:00,30.7554,20.2263,63.72,62,66,5.57
180,Cherskiy,RU,2021-11-22 00:49:01,68.75,161.3,-30.69,99,16,4.81
181,Ugoofaaru,MV,2021-11-22 00:49:01,5.6667,73.0,81.39,73,10,13.76
182,Hualmay,PE,2021-11-22 00:49:02,-11.0964,-77.6139,65.21,84,100,7.54
183,Ouadda,CF,2021-11-22 00:49:03,8.0777,22.4007,71.04,30,100,4.79
184,Chapais,CA,2021-11-22 00:47:45,49.7834,-74.8492,31.78,86,100,15.05
185,Corcoran,US,2021-11-22 00:49:05,36.098,-119.5604,65.21,47,0,5.73
186,Esperance,AU,2021-11-22 00:49:05,-33.8667,121.9,69.64,56,0,12.77
187,Svetlaya,RU,2021-11-22 00:49:06,46.5389,138.3297,35.02,87,100,23.47
188,Esso,RU,2021-11-22 00:49:06,55.9333,158.7,24.96,87,100,1.16
189,Shenzhen,CN,2021-11-22 00:46:00,22.5455,114.0683,69.13,97,100,3.0
190,Peruibe,BR,2021-11-22 00:49:08,-24.32,-46.9983,62.64,87,0,5.19
191,Henties Bay,NA,2021-11-22 00:49:08,-22.116,14.2845,59.86,91,0,6.89
192,Lasa,IT,2021-11-22 00:49:09,46.6166,10.7002,43.68,85,99,2.42
193,Westport,US,2021-11-22 00:49:10,41.1415,-73.3579,54.09,89,90,5.99
194,Chauk,MM,2021-11-22 00:49:10,20.8833,94.8167,75.72,78,3,3.09
195,Hamilton,US,2021-11-22 00:49:11,39.1834,-84.5333,46.58,95,90,1.99
196,Rio Gallegos,AR,2021-11-22 00:46:53,-51.6226,-69.2181,46.45,34,40,14.97
197,Faanui,PF,2021-11-22 00:49:12,-16.4833,-151.75,79.92,68,6,6.93
198,Dakar,SN,2021-11-22 00:49:13,14.6937,-17.4441,78.93,89,0,9.22
199,Feicheng,CN,2021-11-22 00:49:13,35.2606,117.9675,34.68,33,0,13.11
200,Verkh-Usugli,RU,2021-11-22 00:49:14,52.7,115.1667,-1.21,90,15,2.86
201,Trapani,IT,2021-11-22 00:49:15,37.8333,12.6667,59.18,87,100,10.38
202,Muros,ES,2021-11-22 00:49:15,42.7762,-9.0603,52.23,90,55,17.05
203,Grand Gaube,MU,2021-11-22 00:49:16,-20.0064,57.6608,73.8,79,0,3.0
204,Tiksi,RU,2021-11-22 00:49:16,71.6872,128.8694,-16.58,99,97,0.34
205,Miri,MY,2021-11-22 00:49:17,4.4148,114.0089,80.74,83,20,2.3
206,Victoria,HK,2021-11-22 00:44:40,22.2855,114.1577,69.24,90,100,1.01
207,Oktyabrskoye,RU,2021-11-22 00:49:18,43.0645,44.7417,26.74,93,0,4.47
